"Name"	"Model No."	"IA Code"	"Type"	"Currency"	"Underlying Total Value"	"Underlying Balance"	"Updated on"	"Excess Cash"	"Inactive"
"*FALL BACK"	"~M-0000S-0"	"BD88"	"IA model"	"CAD"	"4,230.94"	"4,230.94"	"12/08/2014"	"Yes"	"No"
"+FB_MONTAN_SUBS"	"~M-0000R-0"	"_FRM"	"Firm Model"	"CAD"	"3,047,409.14"	"(7,562.61)"	"10/13/2016"	"Yes"	"No"
"AB-EQUI"	"~M-0000J-0"	"BD88"	"IA Basket"	"CAD"	"0.00"	"0.00"	"12/08/2014"	"No"	"No"
"AV-HERCDN"	"~M-0000K-0"	"1RCF"	"IA Basket"	"CAD"	"0.00"	"0.00"	"12/08/2014"	"No"	"No"
"AV-HEREQU"	"~M-0000L-0"	"1RAA"	"IA Basket"	"CAD"	"0.00"	"0.00"	"12/08/2014"	"No"	"No"
"BD-EQALPHA"	"~M-0000M-0"	"1RBC"	"IA Basket"	"CAD"	"0.00"	"0.00"	"12/08/2014"	"No"	"No"
"BHP-GR-DIV"	"~M-0000N-0"	"7V8X"	"IA Basket"	"CAD"	"0.00"	"0.00"	"12/08/2014"	"No"	"No"
"CH AMERICAN EQUI"	"~M-00002-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/03/2014"	"No"	"No"
"CH BONDS"	"~M-00003-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/04/2014"	"No"	"No"
"CH CANADIAN EQUI"	"~M-00001-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/03/2014"	"No"	"No"
"CH CORPORATIVE B"	"~M-00009-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/04/2014"	"No"	"No"
"CH FOREIGN EQUIT"	"~M-00004-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/04/2014"	"No"	"No"
"CH LONG TERM"	"~M-00005-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/04/2014"	"No"	"No"
"CH MOYEN TERME"	"~M-00006-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/04/2014"	"No"	"No"
"CH REVENUS FIXES"	"~M-00007-0"	"_FRM"	"Firm Model"	"CAD"	"0.00"	"0.00"	"09/04/2014"	"No"	"No"
