"Nom"	"No de modèle"	"Code de CP"	"Type"	"Devise"	"Valeur totale sous-jacente"	"Solde sous-jacent"	"Dernière m.-à-j."	"Excédent d'encaisse"	"Inactif"
"*FALL BACK"	"~M-0000S-0"	"BD88"	"Modèle CP"	"CAD"	"4 230,94"	"4 230,94"	"2014/12/08"	"Oui"	"Non"
"+FB_MONTAN_SUBS"	"~M-0000R-0"	"_FRM"	"Modèle Firme"	"CAD"	"3 047 409,14"	"(7 562,61)"	"2016/10/13"	"Oui"	"Non"
"AB-EQUI"	"~M-0000J-0"	"BD88"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"AV-HERCDN"	"~M-0000K-0"	"1RCF"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"AV-HEREQU"	"~M-0000L-0"	"1RAA"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"BD-EQALPHA"	"~M-0000M-0"	"1RBC"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"BHP-GR-DIV"	"~M-0000N-0"	"7V8X"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"CH AMERICAN EQUI"	"~M-00002-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/03"	"Non"	"Non"
"CH BONDS"	"~M-00003-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH CANADIAN EQUI"	"~M-00001-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/03"	"Non"	"Non"
"CH CORPORATIVE B"	"~M-00009-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH FOREIGN EQUIT"	"~M-00004-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
