	"Status"	"Account No."	"Account Name"	"CFO/CXL"	"Side"	"Order price"	"Order Type"	"Quantity"	"Symbol"	"Description"	"Good Till"	"Executed Qty"	"Average fill price"	"Market"	"Last Modification"	"Execution Date"	"IA Code"	"Supplier No."	"Alternative Order No."	"Source"
	"Trader Approval"	"USD_ACCOUNT"	""	""	"SELL"	"At market"	""	"60"	"MSFT"	"MICROSOFT CORP"	"11/21/2017"	"0"	"0.000"	"NAS"	"11/21/2017 09:06:17 AM"	"n/a"	"AC42"	"CF933"	""	"Single Trade"
	"Trader Approval"	"CAD_ACCOUNT"	""	""	"SELL"	"At market"	""	"100.000 U"	"FID224"	"FID CDN DISC EQ-B /N"	""	"0.000"	"0.000"	""	"11/21/2017 09:01:58 AM"	"n/a"	"AC42"	"CF931"	""	"Single Trade"
	"Trader Approval"	"CAD_ACCOUNT"	""	""	"BUY"	"At market"	""	"100"	"B01610"	"PROV NFLD 8.45% 5FB26"	""	"0"	"0.000"	""	"11/21/2017 08:59:46 AM"	"n/a"	"AC42"	"CF914"	""	"Single Trade"
	"Open"	"CAD_ACCOUNT"	""	""	"BUY"	"At market"	""	"100"	"RY"	"ROYAL BANK OF CANADA"	"11/21/2017"	"0"	"0.000"	"TSE"	"11/21/2017 09:04:15 AM"	"n/a"	"AC42"	"CF932"	""	"Single Trade"
	"Open"	"CAD_ACCOUNT"	""	"CFO"	"BUY"	"At market"	""	"209"	"B01610"	"PROV NFLD 8.45% 5FB26"	""	"0"	"0.000"	""	"05/24/2016 12:15:59 PM"	"n/a"	"AC42"	"CF743"	""	"Single Trade"
	"Open"	"CAD_ACCOUNT"	""	""	"SELL"	"At market"	""	"800"	"TD"	"TORONTO DOMINION BANK"	"05/24/2016"	"0"	"0.000"	"TSE"	"05/24/2016 12:01:30 PM"	"n/a"	"AC42"	"CF732"	""	"Single Trade"
	"Partial Fill"	"CAD_ACCOUNT"	""	""	"SELL"	"At market"	""	"100,000"	"B03774"	"PROV NFLD 5.25% 4JN14"	""	"562"	"101.000"	""	"05/24/2016 12:08:28 PM"	"05/24/2016 12:07:58 PM"	"AC43"	"CF738"	""	"Single Trade"
	"Partial Fill"	"CAD_ACCOUNT"	""	"CFO"	"BUY"	"60.000"	"Limit"	"150"	"LLL"	"LULULEMON ATHLETICA INC"	"05/24/2016"	"10"	"102.000"	"TSE"	"05/24/2016 12:06:10 PM"	"05/24/2016 12:06:09 PM"	"AC43"	"CROESUS1_734"	""	"Multiple, block and switch orders"
	"Expired"	"US_ACCOUNT"	""	""	"SELL"	"At market"	""	"200"	"MMM"	"3M COMPANY"	"05/24/2016"	"25"	"67.000"	"NYS"	"05/24/2016 11:59:53 AM"	"05/24/2016 11:58:56 AM"	"AC43"	"CROESUS1_677"	""	"Single Trade"
	"Expired"	"CAD_ACCOUNT"	""	""	"BUY"	"At market"	""	"250"	"B01610"	"PROV NFLD 8.45% 5FB26"	""	"0"	"0.000"	""	"05/24/2016 11:59:53 AM"	"n/a"	"AC42"	"CF698"	""	"Single Trade"
	"Expired"	"CAD_ACCOUNT"	""	""	"BUY"	"At market"	""	"250.000 $"	"FID227"	"FID FAR EAST /N"	""	"0.000"	"0.000"	""	"05/24/2016 11:59:53 AM"	"n/a"	"AC42"	"CF697"	""	"Single Trade"
	"Cancelled"	"CAD_ACCOUNT"	""	"CXL"	"SELL"	"At market"	""	"Totality"	"FID224"	"FID CDN DISC EQ-B /N"	""	"0.000"	"0.000"	""	"05/24/2016 11:59:53 AM"	"n/a"	"AC42"	"CF678"	""	"Multiple, block and switch orders"
	"Rejected"	"CAD_ACCOUNT"	""	""	"SELL"	"At market"	""	"3,347"	"M84833"	"INT-QUEBEC HYDRO 15AG17"	""	"0"	"0.000"	""	"05/24/2016 12:12:31 PM"	"n/a"	"AC42"	"CF742"	""	"Single Trade"
	"Rejected"	"CAD_ACCOUNT"	""	""	"SELL"	"At market"	""	"7,000"	"DA.DB"	"DISCV CV RSTD 8.75%31DC11"	""	"0"	"0.000"	"TSE"	"05/24/2016 12:03:43 PM"	"n/a"	"AC42"	"CF733"	""	"Single Trade"
	"Rejected"	"CAD_ACCOUNT"	""	""	"BUY"	"At market"	""	"500.000 U"	"AGF110C"	"GLB STG EURO PL-A /D"	""	"0.000"	"0.000"	""	"05/24/2016 11:59:53 AM"	"n/a"	"AC42"	"CF679"	""	"Single Trade"
	"Executed"	"CAD_ACCOUNT"	""	""	"BUY"	"At market"	""	"200"	"Q01560"	"AMQUI MN 4% 22NV10"	""	"200"	"65.000"	""	"05/24/2016 12:10:20 PM"	"05/24/2016 12:09:51 PM"	"AC43"	"CF740"	""	"Multiple, block and switch orders"
	"Executed"	"CAD_ACCOUNT"	""	""	"SELL"	"At market"	""	"100.000 $"	"FID225"	"FID TRUE NORTH -B /N"	""	"0.000"	"0.000"	""	"05/24/2016 11:56:53 AM"	"05/24/2016 11:56:51 AM"	"AC42"	"CF680"	""	"Single Trade"
	"Modified"	"CAD_ACCOUNT"	""	"CXL"	"BUY"	"At market"	""	"210"	"B01610"	"PROV NFLD 8.45% 5FB26"	""	"0"	"0.000"	""	"05/24/2016 12:15:59 PM"	"n/a"	"AC42"	"CF743"	""	"Single Trade"
	"Modified"	"CAD_ACCOUNT"	""	"CXL"	"BUY"	"At market"	""	"150"	"LLL"	"LULULEMON ATHLETICA INC"	"05/24/2016"	"10"	"102.000"	"TSE"	"05/24/2016 12:06:10 PM"	"05/24/2016 12:06:09 PM"	"AC43"	"CROESUS1_734"	""	"Multiple, block and switch orders"
