"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"MY (%)"	"YTM - Market (%)"	"Exclude from Billing"
"!ALTAENGYCB-068.520DC40**"	""	"R13021"	"Bonds (other)"	"2606000"	"100.596"	"100.596"	"100.596"	"CAD"	"8.45"	"8.444166"	"No"
"!RONA INC"	""	"306470"	"Common Stock"	"330"	"27.800"	"28.100"	"28.100"	"CAD"	"n/a"	""	"No"
"01 COMMUNIQUE LAB INC"	"ONE"	"506391"	"Common Stock"	"330"	"0.235"	"0.245"	"0.235"	"CAD"	"n/a"	""	"No"
"1000-GOLD CERT-CIBC-TR OZ"	""	"995534"	"Investment Funds"	"331"	"279.800"	"279.800"	"279.800"	"USD"	"n/a"	""	"No"
"100THS-WINBURY MTG PFD A"	""	"982475"	"Investment Funds"	"331"	"0.829"	"0.829"	"0.829"	"CAD"	"n/a"	""	"No"
"20/20 AM TAA DSC"	"TTG780"	"997755"	"Investment Funds"	"3807600"	"17.195"	"17.195"	"17.195"	"CAD"	"n/a"	""	"No"
"20/20 FGN RSP BD DSC"	"TTG671"	"998159"	"Investment Funds"	"3807750"	"4.730"	"4.730"	"4.730"	"CAD"	"n/a"	""	"No"
"20/20 R/ACTIF CDN *"	""	"997684"	"Asset Allocation Funds"	"3807600"	"10.000"	"10.000"	"0.000"	"CAD"	"n/a"	""	"No"
"21ST CENTURY TECH INC *"	"TFCT"	"685242"	"Common Stock"	"330"	"0.004"	"0.004"	"0.004"	"USD"	"n/a"	""	"No"
"21ST CENTURY TECHS"	"TFCYQ"	"685243"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"360NETWORKS INC"	""	"665971"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"3COM CORP"	"COMS"	"665750"	"Common Stock"	"315"	"7.510"	"7.520"	"7.520"	"USD"	"n/a"	""	"No"
"3DFX INTERACTIVE"	"TDFXQ"	"665754"	"Common Stock"	"330"	"0.001"	"0.001"	"0.001"	"USD"	"n/a"	""	"No"
"3EEE INC *"	"TEEZ"	"665977"	"Common Stock"	"330"	"0.000"	"0.000"	"0.030"	"USD"	"n/a"	""	"No"
"3M COMPANY"	"MMM"	"666038"	"Common Stock"	"315"	"81.850"	"81.870"	"81.830"	"USD"	"2.49"	""	"No"
"407 INTL CB 4.9% 4OC10"	""	"T49445"	"Bonds (other)"	"2606000"	"102.714"	"102.714"	"102.714"	"CAD"	"4.77"	"0.940171"	"No"
"444"	""	"9~0005"	"Bankers Acceptances"	"MAN"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"n/a"	"No"
"527878 B.C. LTD CL-A-RSTD"	""	"262727"	"Common Stock"	"330"	"2.370"	"2.370"	"2.370"	"CAD"	"n/a"	""	"No"
"5N PLUS INC"	"VNP"	"260983"	"Common Stock"	"330"	"5.420"	"5.450"	"5.420"	"CAD"	"n/a"	""	"No"
"6550568 CANADA INC *"	""	"618249"	"Common Stock"	"330"	"0.010"	"0.010"	"0.000"	"CAD"	"n/a"	""	"No"
"99 CENTS ONLY STORES"	"NDN"	"486900"	"Common Stock"	"315"	"12.760"	"12.770"	"12.770"	"USD"	"n/a"	""	"No"
"AAER INC"	"AAE"	"033772"	"Common Stock"	"330"	"0.085"	"0.090"	"0.085"	"CAD"	"n/a"	""	"No"
"AAT GIC 4% 17DC10CA"	""	"R09866"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.00"	"4.000000"	"No"
"AAT GIC 3.65% 11AG10A"	""	"R05336"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"3.65"	"3.650000"	"No"
"AAT GIC 4% 6DC10A"	""	"R06919"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.00"	"4.000000"	"No"
"AAT GIC 4.3% 4AG11A"	""	"R09077"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"AAT GIC 4.3% 8DC11A"	""	"R09782"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"AAT GIC 4.3% 15DC11A"	""	"R09831"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"AAT GIC 4.3% 21SP11A"	""	"R06482"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"AAT GIC 4.3% 23SP11A"	""	"R09312"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"AAT GIC 4.3% 30SP11A"	""	"R09383"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"AAT GIC 4.4% 2OC12A"	""	"R09423"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.40"	"4.400000"	"No"
"AAT GIC 4.5% 1OC13CA"	""	"R09408"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.50"	"4.500000"	"No"
"AAT GIC 4.5% 30SP13A"	""	"R09388"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.50"	"4.500000"	"No"
"AAT GIC 4.7% 16DC13A"	""	"R09842"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.70"	"4.700000"	"No"
"AAT GIC 4.7% 16DC13A"	""	"R09855"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.70"	"4.700000"	"No"
"AAT GIC 4.7% 18DC13A"	""	"R09886"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.70"	"4.700000"	"No"
"AAT GIC 4.9% 12JL10A"	""	"R07536"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.90"	"4.900000"	"No"
"AAT GIC 4.15% 12MY11A"	""	"R08273"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.15"	"4.150000"	"No"
"AAT GIC 4.15% 28MY10A"	""	"R08407"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.15"	"4.150000"	"No"
"AAT GIC 4.25% 12SP11A"	""	"R09205"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.25"	"4.250000"	"No"
"AAT GIC 4.35% 19JL10A"	""	"R08911"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.35"	"4.350000"	"No"
"AAT GIC 4.55% 25JL11A"	""	"R08974"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.55"	"4.550000"	"No"
"AAT GIC 4.55% 18JL11CA"	""	"R08927"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.55"	"4.550000"	"No"
"AAT GIC 4.55% 18JL11CA"	""	"R10296"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.55"	"4.550000"	"No"
"AAT GIC 4.65% 25JL13A"	""	"R09016"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.65"	"4.650000"	"No"
"AAT GIC 4.75% 11JL13A"	""	"R08847"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"4.75"	"4.750000"	"No"
"AAT R/G GIC S23/LL/N"	"AAT123"	"926569"	"Bond Funds"	"3807245"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	""	"No"
"AB ELECTROLUX SPONS ADR"	"ELUXY"	"007377"	"Common Stock"	"3308000"	"0.000"	"0.000"	"48.180"	"USD"	"5.92"	""	"No"
"AB-EQUI"	""	"762800"	"Canadian Bonds & Income Funds"	"3807700"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ABACAN RESOURCE CORP"	"ABACQ"	"000543"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"ABACUS SOFTWARE GROUP INC"	""	"000565"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ABB LTD ADR"	"ABB"	"000676"	"Common Stock"	"3158000"	"18.480"	"18.490"	"18.470"	"USD"	"2.41"	""	"No"
"ABBOTT LABORATORIES"	"ABT"	"001388"	"Common Stock"	"315"	"54.710"	"54.740"	"54.700"	"USD"	"2.93"	""	"No"
"ABER DIAMOND CORP *"	"ABZ"	"001708"	"Common Stock"	"315"	"0.000"	"37.313"	"0.000"	"CAD"	"2.84"	""	"No"
"ABERCROMBIE & FITCH CO-A-"	"ANF"	"001541"	"Common Stock"	"315"	"30.410"	"30.430"	"30.450"	"USD"	"2.30"	""	"No"
"ABERDEEN ASIA-PAC INC FND"	"FAX"	"001742"	"Common Stock"	"3308015"	"6.440"	"6.460"	"6.450"	"USD"	"6.51"	""	"No"
"ABERDEEN ASIA-PACIFIC INC"	"FAP"	"001761"	"Closed-end Funds: Bonds"	"330"	"6.420"	"6.440"	"6.420"	"CAD"	"9.35"	""	"No"
"ABERDEEN G7 T/U"	"GSV.UN"	"001812"	"Trust Units"	"3308001"	"6.500"	"6.890"	"6.500"	"CAD"	"11.08"	""	"No"
"ABITIBIBOWATER CDA-EXCH"	"AXB"	"082163"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ABITIBIBOWATER INC"	"ABH"	"002826"	"Common Stock"	"330"	"0.000"	"0.000"	"0.120"	"USD"	"n/a"	""	"No"
"ABN AMRO HLDG NV SP-ADR *"	"ABN"	"000287"	"Common Stock"	"3158000"	"0.000"	"0.000"	"50.250"	"USD"	"3.15"	""	"No"
