Symbol	Security	Subcategory	Type	Bid	Ask	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Risk Rating Source	Risk Rating	Region	Non-redeemable	Maturity	Market	Manual overwrite	Last Rating Change	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing	Description
	R13021	Bonds (other)	2606000	100.596	100.596	CAD			titre progressif	"8,569.37"			Yes	n/a	Fallback by Subcategory	3	CA	No	12/20/2040		No	01/25/2010	8.5	n/a	2	Bond		0	8.45	8.444166	No	!ALTAENGYCB-068.520DC40**
	306470	Common Stock	330	27.8	28.1	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity	05/04/2004	0	n/a		No	!RONA INC
ONE	506391	Common Stock	330	0.235	0.245	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	01 COMMUNIQUE LAB INC
	995534	Investment Funds	331	279.8	279.8	USD								n/a	Fallback by Subcategory	5	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	1000-GOLD CERT-CIBC-TR OZ
	982475	Investment Funds	331	0.829	0.829	CAD								n/a	Fallback by Subcategory	5	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	100THS-WINBURY MTG PFD A
TTG780	997755	Investment Funds	3807600	17.195	17.195	CAD								n/a	Fallback by Subcategory	5	CA	No		T	No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	20/20 AM TAA DSC
TTG671	998159	Investment Funds	3807750	4.73	4.73	CAD								n/a	Fallback by Subcategory	5	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	20/20 FGN RSP BD DSC
	997684	Asset Allocation Funds	3807600	10	10	CAD					0			n/a	Fallback by Subcategory	4	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	20/20 R/ACTIF CDN *
TFCT	685242	Common Stock	330	0.004	0.004	USD								n/a	Fallback by Subcategory	6	US	No		XY	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	21ST CENTURY TECH INC *
TFCYQ	685243	Common Stock	330	0	0	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	21ST CENTURY TECHS
	665971	Common Stock	330	0	0	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	360NETWORKS INC
COMS	665750	Common Stock	315	7.51	7.52	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	3COM CORP
