"Nom"	"No de modèle"	"Code de CP"	"Type"	"Devise"	"Valeur totale sous-jacente"	"Solde sous-jacent"	"Dernière m.-à-j."	"Excédent d'encaisse"	"Inactif"
"*FALL BACK"	"~M-0000S-0"	"BD88"	"Modèle CP"	"CAD"	"4 230,94"	"4 230,94"	"2014/12/08"	"Oui"	"Non"
"+FB_MONTAN_SUBS"	"~M-0000R-0"	"_FRM"	"Modèle Firme"	"CAD"	"3 047 409,14"	"(7 562,61)"	"2016/10/13"	"Oui"	"Non"
"AB-EQUI"	"~M-0000J-0"	"BD88"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"AV-HERCDN"	"~M-0000K-0"	"1RCF"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"AV-HEREQU"	"~M-0000L-0"	"1RAA"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"BD-EQALPHA"	"~M-0000M-0"	"1RBC"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"BHP-GR-DIV"	"~M-0000N-0"	"7V8X"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"CH AMERICAN EQUI"	"~M-00002-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/03"	"Non"	"Non"
"CH BONDS"	"~M-00003-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH CANADIAN EQUI"	"~M-00001-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/03"	"Non"	"Non"
"CH CORPORATIVE B"	"~M-00009-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH FOREIGN EQUIT"	"~M-00004-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH LONG TERM"	"~M-00005-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH MOYEN TERME"	"~M-00006-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH REVENUS FIXES"	"~M-00007-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH US EQUITIES"	"~M-00008-0"	"AC42"	"Modèle CP"	"CAD"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CR1075_MOD1"	"~M-0000G-0"	"AC42"	"Modèle CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Oui"
"CR1075_MOD2"	"~M-0000H-0"	"AC42"	"Modèle CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Oui"
"CR1075_MOD3"	"~M-0000I-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Oui"
"CROES984"	"~M-0000U-0"	"AC42"	"Modèle CP"	"CAD"	"0,00"	"0,00"	"2015/04/29"	"Non"	"Non"
"GPRF-INST2"	"~M-0000O-0"	"0AED"	"Panier GP1859"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"GROWTH"	"~M-0000Q-0"	"_FRM"	"Panier firme"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"PANIER OBLIGATIO"	"~M-0000P-0"	"BD88"	"Panier CP"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"RECHANGE_PANIER"	"~M-00015-0"	"BD88"	"Modèle CP"	"CAD"	"624 993,37"	"1 933,46"	"2018/03/16"	"Non"	"Non"
"SOUS_MODELE"	"~M-00016-0"	"7V8X"	"Modèle CP"	"CAD"	"719 728,35"	"390,66"	"2018/03/16"	"Oui"	"Non"
"SUBS_PRORATA"	"~M-0000E-0"	"_FRM"	"Modèle Firme"	"CAD"	"555 311,32"	"19 427,63"	"2014/12/08"	"Non"	"Oui"
"SUBS_PRORATA2"	"~M-0000F-0"	"_FRM"	"Modèle Firme"	"CAD"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"SUBSTITUT_MOD2"	"~M-00014-0"	"_FRM"	"Modèle Firme"	"CAD"	"412 730,11"	"4 128,33"	"2018/03/16"	"Non"	"Non"
"SUSBS_BASIC"	"~M-0000D-0"	"_FRM"	"Modèle Firme"	"CAD"	"6 668 624,85"	"11 827,99"	"2014/12/08"	"Non"	"Oui"
