Description	Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Clôture	Devise prix	RM (%)	Rend. éché. - Marché (%)
3M COMPANY	MMM	666038	Actions ordinaires	315	"81,850"	"81,870"	"81,830"	USD	"5,43"	
ARCHER-DANIELS-MIDLAND CO	ADM	35063	Actions ordinaires	315	"29,750"	"29,760"	"29,770"	USD	"4,03"	
BK NOVA SCOTIA 3.61%PF-20	BNS.PR.Q	55930	Actions privilégiées	310	"26,230"	"26,410"	"26,230"	CAD	"3,44"	
BLUE RIBBON INCOME FD T/U	RBN.UN	77626	Fiducies de redevances	3308001	"9,610"	"9,640"	"9,610"	CAD	"6,24"	
BNC GS ART S-1 T/V 14AV14		V92805	Matières premières: Billets	2602245	"95,080"	"95,080"	"95,080"	CAD	n/d	
BNC MARCH BETAIL-1 16AV13		V76376	Matières premières: Billets	2602230	"65,500"	"65,500"	"65,500"	CAD	n/d	
BNC TACT R&H-A /N	NBC416	977414	Fonds de placement hypothécaires	3807705	"11,070"	"11,070"	"11,070"	CAD	"2,16"	
CLAYMORE S&P CDN PFD ETF	CPD	163476	Actions privilégiées	3308001	"16,830"	"16,850"	"16,830"	CAD	"4,99"	
DMP RESOURCE CL /N	DYN9152	990780	Fonds d'actions - ressources canadiennes	3807200	"19,420"	"19,420"	"19,420"	CAD	"0,05"	
EMERA INCORPORATED	EMA	250010	Actions ordinaires	315	"24,100"	"24,110"	"24,110"	CAD	"8,67"	
ENBRIDGE 5% 9AU16		T32418	Obligations corporatives	2606000	"107,121"	"107,121"	"107,121"	CAD	"4,67"	"3,761,418"
FID EXT ORIENT /N	FID227	995074	Fonds d'actions - Asie et côte pacifique	3807420	"31,083"	"31,083"	"31,083"	CAD	n/d	
FID FD MDL-B /N	FID230	995076	Fonds d'actions globales	3807500	"23,890"	"23,890"	"23,890"	CAD	n/d	
GW CDN FD /S/N	WVN613	942953	Fonds d'actions canadiennes	3807040	"7,810"	"7,810"	"7,810"	CAD	n/d	
INT-PROV QUE NX7 16JL10		M86289	Coupons détachés	2631381	"99,717"	"99,717"	"99,717"	CAD	n/d	"0,602257"
INT-PROV QUE NX7 16JL13		M86295	Coupons détachés	2631381	"91,400"	"91,400"	"91,400"	CAD	n/d	"2,624,417"
ISHARES CD DEX UNI BD ETF	XBB	355697	Fonds négociés en bourse: Obligations	3308001	"29,670"	"29,700"	"29,680"	CAD	"4,67"	
ISHARES CD S&P/TSX EN ETF	XEG	355699	Fonds négociés en bourse: Actions	3158001	"17,990"	"18,060"	"18,010"	CAD	"2,39"	
ISHARES CD SP/TSX GLD ETF	XGD	355711	Fonds négociés en bourse: Actions	3158001	"19,590"	"19,620"	"19,600"	CAD	"0,10"	
