Nom	No relation	Code de CP	Solde	Devise	Quai F	Pomme F	Perrier	Paques	Papier F	panier	Connaissance plac.	Avoir ds autre inst.	Actif net	Parent F	Type	Segmentation	Nom substitutif	Nom modèle	Nom complet	No modèle	Mise à jour	Langue	Interlocuteur	Formule d'appel	Facturable	Date de création	Courriel 3	Courriel 2	Courriel 1	Communication	Marge	Valeur totale
#1 TEST	0	BD88	"173 192,38"	CAD											n/d				Test #1		2014-09-03	Français				2014-09-03					"0,00"	"5 713 730,76"
#2 TEST	1	BD88	"268 894,28"	CAD											n/d				Test #2		2014-09-03	Français				2014-09-03					"0,00"	"12 220 927,38"
#3 TEST	2	BD88	"196 893,55"	CAD											n/d				Test #3		2014-10-21	Anglais				2014-09-03					"0,00"	"4 267 487,86"
#4 TEST	3	BD88	"59 084,57"	CAD											n/d				Test #4		2014-09-03	Français				2014-09-03					"0,00"	"2 886 021,67"
#5 TEST	4	BD88	"5 913,97"	CAD											n/d				Test #5		2014-09-03	Français				2014-09-03					n/d	"606 920,05"
#6 TEST	5	BD88	"561 665,94"	CAD											n/d				Test #6		2014-09-03	Français				2014-09-03					n/d	"1 031 886,31"
DAILY_AVERAGE	0000Y	BD88	"0,00"	CAD											n/d				Daily_average		2018-05-23	Français			X	2018-05-14					"0,00"	"5 353,02"
DAILY_AVERAGE_2	0000S	BD88	"61 373,40"	CAD											n/d				Daily_Average_2		2018-05-22	Français			X	2018-05-14					"0,00"	"388 316,38"
END_MONTH_AVERG	0000F	BD88	"5 548,02"	CAD											n/d				end_month_averg		2018-06-27	Français			X	2018-05-14					"0,00"	"348 126,18"
END_MONTH_AVR_Q	0000G	BD88	"10 494,84"	CAD											n/d				end_month_avr_q		2018-05-22	Français			X	2018-05-14					"0,00"	"383 239,77"
END_MONTH_Q	0000C	BD88	"4 563,03"	CAD											n/d				end_month_q		2018-05-22	Français			X	2018-05-14					"0,00"	"109 783,86"
END_OF_PERIOD	0000B	BD88	"87 285,42"	CAD											n/d				end_of_period		2018-05-22	Français			X	2018-05-14					"0,00"	"620 035,50"
INADV_Q	0000H	BD88	"281 710,29"	CAD											n/d				inadv_q		2018-05-22	Français			X	2018-05-14					n/d	"659 134,47"
INADV_Q2	0000I	BD88	"719,98"	CAD											n/d				inadv_q2		2018-05-23	Français			X	2018-05-14					n/d	"719,98"
INADVANCE	0000J	BD88	"2 439,47"	CAD											n/d				inadvance		2018-07-10	Français			X	2018-05-14					n/d	"165 200,02"
