Description	Symbol	Security	Subcategory	Type	Bid	Ask	Close	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Region	Non-redeemable	Maturity	Market	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing
!ALTAENGYCB-068.520DC40**		R13021	Bonds (other)	2606000	100.596	100.596	100.596	CAD			titre progressif	"8,569.37"			Yes	n/a	CA	No	12/20/2040		8.5	n/a	2	Bond		0	8.45	8.444166	No
!RONA INC		306470	Common Stock	330	27.8	28.1	28.1	CAD								n/a	CA	No			0	n/a	0	Equity	05/04/2004	0	n/a		No
01 COMMUNIQUE LAB INC	ONE	506391	Common Stock	330	0.235	0.245	0.235	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
1000-GOLD CERT-CIBC-TR OZ		995534	Investment Funds	331	279.8	279.8	279.8	USD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
100THS-WINBURY MTG PFD A		982475	Investment Funds	331	0.829	0.829	0.829	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
20/20 AM TAA DSC	TTG780	997755	Investment Funds	3807600	17.195	17.195	17.195	CAD								n/a	CA	No		T	0	n/a	0	Mutual Fund		0	n/a		No
20/20 FGN RSP BD DSC	TTG671	998159	Investment Funds	3807750	4.73	4.73	4.73	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
20/20 R/ACTIF CDN *		997684	Asset Allocation Funds	3807600	10	10	0	CAD					0			n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
21ST CENTURY TECH INC *	TFCT	685242	Common Stock	330	0.004	0.004	0.004	USD								n/a	US	No		XY	0	n/a	0	Equity		0	n/a		No
21ST CENTURY TECHS	TFCYQ	685243	Common Stock	330	0	0	0	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
