Description	Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Clôture	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation
-CUBE MICROSYSTEMS INC *		101705	Actions ordinaires	330	"12,500"	"12,500"	"0,000"	USD					"5,0"	2010-12-30	Oui	US	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2000-05-09		n/d		Non
!ALTAENGYCB-068.520DC40**		R13021	Obligations (autres)	2606000	"100,596"	"100,596"	"100,596"	CAD		titre progressif	8569.3652				Oui	CA	Non	n/d	n/d	"8,500"	Obligation	2	2040-12-20	"0,000"			"8,45"	"8,444,166"	Non
!RONA INC		306470	Actions ordinaires	330	"27,800"	"28,100"	"28,100"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2004-05-04		n/d		Non
01 COMMUNIQUE LAB INC	ONE	506391	Actions ordinaires	330	"0,235"	"0,245"	"0,235"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
1000-GOLD CERT-CIBC-TR OZ		995534	Fonds d'investissement	331	"279,800"	"279,800"	"279,800"	USD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
100THS-WINBURY MTG PFD A		982475	Fonds d'investissement	331	"0,829"	"0,829"	"0,829"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
20/20 AM TAA DSC	TTG780	997755	Fonds d'investissement	3807600	"17,195"	"17,195"	"17,195"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"		T	n/d		Non
20/20 CDN A/ALLOC *		997684	Fonds de placement en répartition de l'actif	3807600	"10,000"	"10,000"	"0,000"	CAD					"0,0"			CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
20/20 FGN RSP BD DSC	TTG671	998159	Fonds d'investissement	3807750	"4,730"	"4,730"	"4,730"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
20/20 WORLD BD DSC	TTG687	997789	Fonds d'investissement	3807750	"10,230"	"10,230"	"10,230"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"		XU	n/d		Non
21ST CENTURY TECH INC *	TFCT	685242	Actions ordinaires	330	"0,004"	"0,004"	"0,004"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		XY	n/d		Non
21ST CENTURY TECHS	TFCYQ	685243	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
