"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"-CUBE MICROSYSTEMS INC *"	""	"101705"	"Actions ordinaires"	"330"	"12,500"	"12,500"	"0,000"	"USD"	"n/d"	""	"Non"
"!ALTAENGYCB-068.520DC40**"	""	"R13021"	"Obligations (autres)"	"2606000"	"100,596"	"100,596"	"100,596"	"CAD"	"8,45"	"8,444166"	"Non"
"!RONA INC"	""	"306470"	"Actions ordinaires"	"330"	"27,800"	"28,100"	"28,100"	"CAD"	"n/d"	""	"Non"
"01 COMMUNIQUE LAB INC"	"ONE"	"506391"	"Actions ordinaires"	"330"	"0,235"	"0,245"	"0,235"	"CAD"	"n/d"	""	"Non"
"1000-GOLD CERT-CIBC-TR OZ"	""	"995534"	"Fonds d'investissement"	"331"	"279,800"	"279,800"	"279,800"	"USD"	"n/d"	""	"Non"
"100THS-WINBURY MTG PFD A"	""	"982475"	"Fonds d'investissement"	"331"	"0,829"	"0,829"	"0,829"	"CAD"	"n/d"	""	"Non"
"20/20 AM TAA DSC"	"TTG780"	"997755"	"Fonds d'investissement"	"3807600"	"17,195"	"17,195"	"17,195"	"CAD"	"n/d"	""	"Non"
"20/20 CDN A/ALLOC *"	""	"997684"	"Fonds de placement en répartition de l'actif"	"3807600"	"10,000"	"10,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"20/20 FGN RSP BD DSC"	"TTG671"	"998159"	"Fonds d'investissement"	"3807750"	"4,730"	"4,730"	"4,730"	"CAD"	"n/d"	""	"Non"
"20/20 WORLD BD DSC"	"TTG687"	"997789"	"Fonds d'investissement"	"3807750"	"10,230"	"10,230"	"10,230"	"CAD"	"n/d"	""	"Non"
"21ST CENTURY TECH INC *"	"TFCT"	"685242"	"Actions ordinaires"	"330"	"0,004"	"0,004"	"0,004"	"USD"	"n/d"	""	"Non"
"21ST CENTURY TECHS"	"TFCYQ"	"685243"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"360NETWORKS INC"	""	"665971"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"3COM CORP"	"COMS"	"665750"	"Actions ordinaires"	"315"	"7,510"	"7,520"	"7,520"	"USD"	"n/d"	""	"Non"
"3DFX INTERACTIVE"	"TDFXQ"	"665754"	"Actions ordinaires"	"330"	"0,001"	"0,001"	"0,001"	"USD"	"n/d"	""	"Non"
"3EEE INC *"	"TEEZ"	"665977"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,030"	"USD"	"n/d"	""	"Non"
"3M COMPANY"	"MMM"	"666038"	"Actions ordinaires"	"315"	"81,850"	"81,870"	"81,830"	"USD"	"2,49"	""	"Non"
"407 INTL CB 4.9% 4OC10"	""	"T49445"	"Obligations (autres)"	"2606000"	"102,714"	"102,714"	"102,714"	"CAD"	"4,77"	"0,940171"	"Non"
"527878 B.C. LTD CL-A-RSTD"	""	"262727"	"Actions ordinaires"	"330"	"2,370"	"2,370"	"2,370"	"CAD"	"n/d"	""	"Non"
"5N PLUS INC"	"VNP"	"260983"	"Actions ordinaires"	"330"	"5,420"	"5,450"	"5,420"	"CAD"	"n/d"	""	"Non"
"6550568 CANADA INC *"	""	"618249"	"Actions ordinaires"	"330"	"0,010"	"0,010"	"0,000"	"CAD"	"n/d"	""	"Non"
"885"	""	"9~0005"	"Acceptations bancaires"	"MAN"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	"n/d"	"Non"
"99 CENTS ONLY STORES"	"NDN"	"486900"	"Actions ordinaires"	"315"	"12,760"	"12,770"	"12,770"	"USD"	"n/d"	""	"Non"
"AAER INC"	"AAE"	"033772"	"Actions ordinaires"	"330"	"0,085"	"0,090"	"0,085"	"CAD"	"n/d"	""	"Non"
"AAT CPG 4% 17DC10CA"	""	"R09866"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,00"	"4,000000"	"Non"
"AAT CPG 3.65% 11AU10A"	""	"R05336"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"3,65"	"3,650000"	"Non"
"AAT CPG 4% 6DC10A"	""	"R06919"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,00"	"4,000000"	"Non"
"AAT CPG 4.3% 4AU11A"	""	"R09077"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 8DC11A"	""	"R09782"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 15DC11A"	""	"R09831"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 21SP11A"	""	"R06482"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 23SP11A"	""	"R09312"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 30SP11A"	""	"R09383"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.4% 2OC12A"	""	"R09423"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,40"	"4,400000"	"Non"
