Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation	Description
	101705	Actions ordinaires	330	"12,500"	"12,500"	USD					"5,0"	2010-12-30	Oui	US	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2000-05-09		n/d		Non	-CUBE MICROSYSTEMS INC *
	R13021	Obligations (autres)	2606000	"100,596"	"100,596"	CAD		titre progressif	8569.3652				Oui	CA	Non	n/d	n/d	"8,500"	Obligation	2	2040-12-20	"0,000"			"8,45"	"8,444,166"	Non	!ALTAENGYCB-068.520DC40**
	306470	Actions ordinaires	330	"27,800"	"28,100"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2004-05-04		n/d		Non	!RONA INC
ONE	506391	Actions ordinaires	330	"0,235"	"0,245"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	01 COMMUNIQUE LAB INC
	995534	Fonds d'investissement	331	"279,800"	"279,800"	USD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	1000-GOLD CERT-CIBC-TR OZ
	982475	Fonds d'investissement	331	"0,829"	"0,829"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	100THS-WINBURY MTG PFD A
TTG780	997755	Fonds d'investissement	3807600	"17,195"	"17,195"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"		T	n/d		Non	20/20 AM TAA DSC
	997684	Fonds de placement en répartition de l'actif	3807600	"10,000"	"10,000"	CAD					"0,0"			CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	20/20 CDN A/ALLOC *
TTG671	998159	Fonds d'investissement	3807750	"4,730"	"4,730"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	20/20 FGN RSP BD DSC
TTG687	997789	Fonds d'investissement	3807750	"10,230"	"10,230"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"		XU	n/d		Non	20/20 WORLD BD DSC
TFCT	685242	Actions ordinaires	330	"0,004"	"0,004"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		XY	n/d		Non	21ST CENTURY TECH INC *
TFCYQ	685243	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	21ST CENTURY TECHS
	665971	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	360NETWORKS INC
COMS	665750	Actions ordinaires	315	"7,510"	"7,520"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	3COM CORP
TDFXQ	665754	Actions ordinaires	330	"0,001"	"0,001"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	3DFX INTERACTIVE
TEEZ	665977	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	3EEE INC *
MMM	666038	Actions ordinaires	315	"81,850"	"81,870"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,510"	2009-11-18	NYS	"2,49"		Non	3M COMPANY
	T49445	Obligations (autres)	2606000	"102,714"	"102,714"	CAD								CA	Non	n/d	n/d	"4,900"	Obligation	2	2010-10-04	"0,000"			"4,77"	"0,940171"	Non	407 INTL CB 4.9% 4OC10
	262727	Actions ordinaires	330	"2,370"	"2,370"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	527878 B.C. LTD CL-A-RSTD
VNP	260983	Actions ordinaires	330	"5,420"	"5,450"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	5N PLUS INC
	618249	Actions ordinaires	330	"0,010"	"0,010"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	6550568 CANADA INC *
	9~0005	Acceptations bancaires	MAN	"0,000"	"0,000"	CAD								DE	Non	n/d	n/d	"0,000"	Obligation	0	2013-11-23	"0,000"			n/d	n/d	Non	885
NDN	486900	Actions ordinaires	315	"12,760"	"12,770"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	99 CENTS ONLY STORES
AAE	33772	Actions ordinaires	330	"0,085"	"0,090"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	AAER INC
	R09866	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	1	2010-12-17	"0,000"			"4,00"	"4,000,000"	Non	AAT CPG 4% 17DC10CA
	R05336	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"3,650"	Obligation	1	2010-08-11	"0,000"			"3,65"	"3,650,000"	Non	AAT CPG 3.65% 11AU10A
	R06919	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	1	2010-12-06	"0,000"			"4,00"	"4,000,000"	Non	AAT CPG 4% 6DC10A
	R09077	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-08-04	"0,000"			"4,30"	"4,300,000"	Non	AAT CPG 4.3% 4AU11A
	R09782	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-12-08	"0,000"			"4,30"	"4,300,000"	Non	AAT CPG 4.3% 8DC11A
	R09831	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-12-15	"0,000"			"4,30"	"4,300,000"	Non	AAT CPG 4.3% 15DC11A
	R06482	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-09-21	"0,000"			"4,30"	"4,300,000"	Non	AAT CPG 4.3% 21SP11A
	R09312	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-09-23	"0,000"			"4,30"	"4,300,000"	Non	AAT CPG 4.3% 23SP11A
	R09383	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-09-30	"0,000"			"4,30"	"4,300,000"	Non	AAT CPG 4.3% 30SP11A
	R09423	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,400"	Obligation	1	2012-10-02	"0,000"			"4,40"	"4,400,000"	Non	AAT CPG 4.4% 2OC12A
	R09408	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,500"	Obligation	1	2013-10-01	"0,000"			"4,50"	"4,500,000"	Non	AAT CPG 4.5% 1OC13CA
