"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"Subsequent Amount"	"Region"	"Non-redeemable"	"Maturity"	"Market"	"Interest"	"Initial Amount"	"Frequency"	"Financial Instrument"	"Dividend Date"	"Dividend"	"MY (%)"	"YTM - Market (%)"
"!ALTAENGYCB-068.520DC40**"	""	"R13021"	"Bonds (other)"	"2606000"	"100.596"	"100.596"	"100.596"	"CAD"	"n/a"	"CA"	"No"	"12/20/2040"	""	"8.500"	"n/a"	"2"	"Bond"	""	"0.000"	"8.45"	"8.444166"
"!CSB CS46 2% 1NV03*"	"CSBCS46"	"A10650"	"Canada Savings Bonds (Compound Interest)"	"2611122"	"182.028"	"182.028"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2003"	""	"2.000"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"2.000000"
"!CSB CS47 1.75% 1NV04*"	""	"A10652"	"Compound Savings Bonds"	"2611122"	"172.510"	"172.510"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2004"	""	"1.750"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"1.750000"
"!CSB CS48 1.5% 1NV05*"	"CSBCS48"	"A10654"	"Compound Savings Bonds"	"2611122"	"165.250"	"165.250"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2005"	""	"1.500"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"1.500000"
"!CSB CS49 2.5% 1NV06*"	"CSBCS49"	"A10656"	"Compound Savings Bonds"	"2611122"	"160.860"	"160.860"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2006"	""	"2.500"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"2.500000"
"!CSB RS46 2% 1NV03*"	""	"A10649"	"Compound Savings Bonds"	"2611122"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2003"	""	"2.000"	"n/a"	"1"	"Bond"	""	"0.000"	"2.00"	"2.000000"
"!CSB RS48 1.5% 1NV05*"	"CSBRS48"	"A10653"	"Compound Savings Bonds"	"2611122"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2005"	""	"1.500"	"n/a"	"1"	"Bond"	""	"0.000"	"1.50"	"1.500000"
"!CSB RS49 2.5% 1NV06*"	"CSBRS49"	"A10655"	"Compound Savings Bonds"	"2611122"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"11/01/2006"	""	"2.500"	"n/a"	"1"	"Bond"	""	"0.000"	"n/a"	"n/a"
"!RONA INC"	""	"306470"	"Common Stock"	"330"	"27.800"	"28.100"	"28.100"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"05/04/2004"	"0.000"	"n/a"	""
"/BCESR14RED CB6.2%28AG07*"	""	"R30102"	"Bonds (other)"	"2606000"	"101.259"	"101.259"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"08/28/2007"	""	"6.200"	"n/a"	"2"	"Bond"	""	"0.000"	"6.12"	"0.000000"
"01 COMMUNIQUE LAB INC"	"ONE"	"506391"	"Common Stock"	"330"	"0.235"	"0.245"	"0.235"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"1000-GOLD CERT-CIBC-TR OZ"	""	"995534"	"Investment Funds"	"331"	"279.800"	"279.800"	"279.800"	"USD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"100THS-WINBURY MTG PFD A"	""	"982475"	"Investment Funds"	"331"	"0.829"	"0.829"	"0.829"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"180 CONNECT INC *"	"NCT.U"	"514842"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"20/20 AM TAA DSC"	"TTG780"	"997755"	"Investment Funds"	"3807600"	"17.195"	"17.195"	"17.195"	"CAD"	"n/a"	"CA"	"No"	""	"T"	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"20/20 FGN RSP BD DSC"	"TTG671"	"998159"	"Investment Funds"	"3807750"	"4.730"	"4.730"	"4.730"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"20/20 R/ACTIF CDN *"	""	"997684"	"Asset Allocation Funds"	"3807600"	"10.000"	"10.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
