"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Devise prix"	"Région"	"Non rachetable"	"Montant subséquent"	"Montant initial"	"Intérêt"	"Instrument financier"	"Fréquence"	"Échéance"	"Dividende"	"Date de dividende"	"Bourse"	"RM (%)"	"Rend. éché. - Marché (%)"	"Description"
""	"101705"	"Actions ordinaires"	"330"	"12,500"	"12,500"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	"2000/05/09"	""	"n/d"	""	"-CUBE MICROSYSTEMS INC *"
""	"R13021"	"Obligations (autres)"	"2606000"	"100,596"	"100,596"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"8,500"	"Obligation"	"2"	"2040/12/20"	"0,000"	""	""	"8,45"	"8,444166"	"!ALTAENGYCB-068.520DC40**"
"CSBCS46"	"A10650"	"Obligations d’épargne du Canada (intérêts composés)"	"2611122"	"182,028"	"182,028"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,000"	"Obligation"	"0"	"2003/11/01"	"0,000"	""	""	"n/d"	"2,000000"	"!OEC CS46 2% 1NV03*"
""	"A10652"	"Obligations d'épargne composées"	"2611122"	"172,510"	"172,510"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"1,750"	"Obligation"	"0"	"2004/11/01"	"0,000"	""	""	"n/d"	"1,750000"	"!OEC CS47 1.75% 1NV04*"
"CSBCS48"	"A10654"	"Obligations d'épargne composées"	"2611122"	"165,250"	"165,250"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"1,500"	"Obligation"	"0"	"2005/11/01"	"0,000"	""	""	"n/d"	"1,500000"	"!OEC CS48 1.5% 1NV05*"
"CSBCS49"	"A10656"	"Obligations d'épargne composées"	"2611122"	"160,860"	"160,860"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,500"	"Obligation"	"0"	"2006/11/01"	"0,000"	""	""	"n/d"	"2,500000"	"!OEC CS49 2.5% 1NV06*"
""	"A10649"	"Obligations d'épargne composées"	"2611122"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,000"	"Obligation"	"1"	"2003/11/01"	"0,000"	""	""	"2,00"	"2,000000"	"!OEC RS46 2% 1NV03*"
"CSBRS48"	"A10653"	"Obligations d'épargne composées"	"2611122"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"1,500"	"Obligation"	"1"	"2005/11/01"	"0,000"	""	""	"1,50"	"1,500000"	"!OEC RS48 1.5% 1NV05*"
"CSBRS49"	"A10655"	"Obligations d'épargne composées"	"2611122"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,500"	"Obligation"	"1"	"2006/11/01"	"0,000"	""	""	"n/d"	"n/d"	"!OEC RS49 2.5% 1NV06*"
""	"306470"	"Actions ordinaires"	"330"	"27,800"	"28,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	"2004/05/04"	""	"n/d"	""	"!RONA INC"
