JobName,TaskName,ProjectPath,InitScript,BeforeTests,AfterTests,RemoteApplication,ToBeRun,Profile
CroesusJob1,BNC_Rapports,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteRapports\Rapports\Rapports.mds,Rapports\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Agenda,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteAgenda\Agenda\Agenda.mds,Agenda\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Dashboard,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteDashboard\Dashboard\Dashboard.mds,Dashboard\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Transactions,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteTransactions\Transactions\Transactions.mds,Transactions\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Titres,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteTitres\Titres\Titres.mds,Titres\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Portefeuille,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuitePortefeuille\Portefeuille\Portefeuille.mds,Portefeuille\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Ordres,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteOrdres\Ordres\Ordres.mds,Ordres\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Comptes,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteComptes\Comptes\Comptes.mds,Comptes\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Modeles,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteModeles\Modeles\Modeles.mds,Modeles\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Relations,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteRelations\Relations\Relations.mds,Relations\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Clients,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteClients\Clients\Clients.mds,Clients\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_Sleeves,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteSleeves\Sleeves\Sleeves.mds,Sleeves\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_General,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteGeneral\General\General.mds,General\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,BNC_AideEnLigne,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionBNC\ProjectSuiteAideEnLigne\AideEnLigne\AideEnLigne.mds,AideEnLigne\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,BNC
CroesusJob1,CIBC_Rapports,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteRapports\Rapports\Rapports.mds,Rapports\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Agenda,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteAgenda\Agenda\Agenda.mds,Agenda\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Dashboard,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteDashboard\Dashboard\Dashboard.mds,Dashboard\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Transactions,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteTransactions\Transactions\Transactions.mds,Transactions\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Titres,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteTitres\Titres\Titres.mds,Titres\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Portefeuille,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuitePortefeuille\Portefeuille\Portefeuille.mds,Portefeuille\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Ordres,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteOrdres\Ordres\Ordres.mds,Ordres\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Comptes,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteComptes\Comptes\Comptes.mds,Comptes\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Modeles,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteModeles\Modeles\Modeles.mds,Modeles\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Relations,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteRelations\Relations\Relations.mds,Relations\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Clients,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteClients\Clients\Clients.mds,Clients\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_Sleeves,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteSleeves\Sleeves\Sleeves.mds,Sleeves\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_General,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteGeneral\General\General.mds,General\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,CIBC_AideEnLigne,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionCIBC\ProjectSuiteAideEnLigne\AideEnLigne\AideEnLigne.mds,AideEnLigne\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,CIBC
CroesusJob1,RJ_Rapports,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteRapports\Rapports\Rapports.mds,Rapports\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Agenda,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteAgenda\Agenda\Agenda.mds,Agenda\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Dashboard,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteDashboard\Dashboard\Dashboard.mds,Dashboard\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Transactions,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteTransactions\Transactions\Transactions.mds,Transactions\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Titres,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteTitres\Titres\Titres.mds,Titres\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Portefeuille,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuitePortefeuille\Portefeuille\Portefeuille.mds,Portefeuille\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Ordres,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteOrdres\Ordres\Ordres.mds,Ordres\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Comptes,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteComptes\Comptes\Comptes.mds,Comptes\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Modeles,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteModeles\Modeles\Modeles.mds,Modeles\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Relations,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteRelations\Relations\Relations.mds,Relations\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Clients,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteClients\Clients\Clients.mds,Clients\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
CroesusJob1,RJ_Sleeves,C:\s-backup\QA Tests\TestCompleteProjects\ProjectSuitesExecutionRJ\ProjectSuiteSleeves\Sleeves\Sleeves.mds,Sleeves\Script\GetListOfTestsToBeRun\GetListOfTestsToBeRun,,,TestExecute,Yes,RJ
